rating,title,text,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,positive_sentiment,negative_sentiment,neutral_sentiment
5.0,Great gift,Having Amazon money is always good,B00IX1I3G6,B00IX1I3G6,AHZ6XMOLEWA67S3TX7IWEXXGWSOA,1549866158332,0,True,0.0047,0.0264,0.9689
5.0,amazon gift card,Always the perfect gift I have never given one and had someone seem or act disappointed Just the opposite They are thrilled and excited to have a bit of a spree Always the perfect size and color Arrives in day in most cases So it s never too late Lots of cards to chose from thank you birthday wedding baby and many that work for many occasions,B005ESMMWW,B005ESMMWW,AFZUK3MTBIBEDQOPAK3OATUOUKLA,1599875158120,0,False,0.0085,0.0225,0.969
5.0,perfect gift,When you have a person who is hard to shop for an amazon gift card is P E R F E C T Man or woman No matter what their hobby lifestyle or age All you have to do is pick the Don t forget to mention that it is a GIFT when you check out you will have some gift card options I ve ordered many of these over years They are always received with glee Woo hoo If you re looking for a great fit for me this is just my size Best to all,B01K8RIM5Y,B005S28ZES,AFZUK3MTBIBEDQOPAK3OATUOUKLA,1535939929239,27,True,0.0355,0.3272,0.6373
5.0,Nice looking,The tin is a nice touch and pretty large It s about in diameter and about thick I added a pretty red ribbon and it is perfect Who doesn t love shopping on Amazon Arrived quickly I have Prime but I think they ship the gift cards out SUPER fast like over night In case you need it for a FAST gift,B0091JKVU0,B00ADR2LV6,AFZUK3MTBIBEDQOPAK3OATUOUKLA,1418439577000,0,False,0.0036,0.0276,0.9688
1.0,Not $10 Gift Cards,I bought this pack of Starbucks Gift cards in Ive given them to friends and I gave to my daughter br My daughter used one recently and it had on the card not She had the cashier check the balance of the other card and it had on it She had forgotten that she had these gift cards so yes years later decided to use the when she found them Do they decline in value And then both had random amounts on them I m embarrassed now to have given them as gifts Friends receiving the gift card aren t going to tell you that weren t able to cover their order with the card you gave them,B00FTGTM5E,B00FTGTIOE,AH5L7ILVA6HYLZOUZIQAWNHVVK3A,1638068808115,2,True,0.1658,0.7292,0.105
5.0,Cute!,That snowman tin is adorable,B072L7GTF5,B00ADR2LV6,AECABX3OO3GK7FCPZLFM3LT2E6UA,1608661063303,0,True,0.008,0.0266,0.9654
5.0,Easy gift,Great and easy gift,B00IX1I3G6,B00IX1I3G6,AFSCQMP2EPYLGJN7OBTMEXCBE2OQ,1602104097716,0,True,0.0105,0.0264,0.9631
5.0,Great gift,Super cute nice quality tin br Your choose amount,B072P5VV4D,B00ADR2LV6,AF4XAUOI5XPGWHCPOTORKBIJSRDA,1551247682370,0,True,0.0091,0.0492,0.9417
5.0,Gifts for my two granddaughters,They love it,B072P5VV4D,B00ADR2LV6,AGJXTLEOLLTIX5AAGFPBZ7CNNVOQ,1675387900672,0,True,0.0145,0.0887,0.8968
5.0,"Great for saying “thank you” to the mail person, farrier, yard man,etc",So many people br Make your life better so remember them,B071NM2PNL,B071X4ZX3X,AG7QDTQYHFOIXFWSVUUBZOEIW2NA,1674305242048,0,True,0.006,0.0461,0.9478
5.0,"Convenient, safe, and perfect gift",My grandson inlaw loves his gift cards so it s the perfect gift for Christmas,B01GKWEH64,B01GKWEEQM,AGVVUU3QRQBHNASSGI5YQLPYOI2Q,1573997914372,2,True,0.0032,0.0107,0.986
5.0,Giftcard,What can you say about a gift card Well it was valid It s a good gift for someone who doesn t like to cook Arrived promptly,B084RMVP59,B07YYWDPSM,AH4O5W3EM4CKQGHMBVTSPCJRYF7Q,1597503033721,1,True,0.0257,0.1514,0.8229
5.0,Simple giftcard!,Easy way to gift money for birthdays,B07HJHK8Y5,B07HJHK8Y5,AG3BG6PCNVQKVYNWHT7IJHEKUQAA,1622792110181,0,True,0.023,0.4965,0.4805
5.0,Great giftcard,Great gift for online shoppers,B0866T1TQJ,B077N4CNVJ,AG3BG6PCNVQKVYNWHT7IJHEKUQAA,1622787790140,0,True,0.0041,0.02,0.9759
5.0,Easy..,Reloading is easy Shopping is easy Amazon is easy,B00IX1I3G6,B00IX1I3G6,AFO3G62P2JXCNMWZTAIB56KPG56A,1466368648000,0,True,0.0131,0.2721,0.7148
1.0,One Star,Card did not work,B00X6G8WCI,B00X6G8J3A,AEMW2ADCJBXXCQLXQVM3RJEK53TQ,1505610792650,0,False,0.5583,0.4119,0.0298
5.0,Great Product.,I bought this for a Christmas gift The recipient really liked it,B01K8RMDO0,B077N4CNVJ,AECK3BJSJOAFSKAAUD4ILDFXZ7KQ,1545086272871,0,True,0.0035,0.0253,0.9712
5.0,No note attached to sent gift card,What a pretty gift card presentation the recipient loved it I have one complaint I took the time and wrote a short note to the recipient of the gift card so she knew who and why the GC was being sent but the note wasn t attached I ve used the option to write a note on many occasions and several times it showed up without the note I actually had to contact her to ask if she had checked her mail knowing it had arrived,B01IE42ST4,B0BT85F69N,AH5ZBPCVWAAGJCOPLXMFXD7PGIJQ,1588871215900,0,False,0.0457,0.1832,0.7711
5.0,Gift card,Perfect Arrived just when stated,B06W5SBSL7,B071X4ZX3X,AFWK5HW3FB4HNVYJUHU5ZW7NPCYA,1560630089067,0,True,0.0047,0.07,0.9254
5.0,Good,Good gift card,B078VSWVGY,B00BXLW5QC,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,1652642526420,0,False,0.0158,0.0669,0.9173
5.0,Good Product,Good Product,B072F9T6VX,B018F4M89S,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,1647201883803,0,False,0.0152,0.0789,0.9059
5.0,Good Product,Good Product,B01C9MW8Z6,B00JFBLZ90,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,1643574023858,0,True,0.0152,0.0789,0.9059
5.0,Good Product,Good Product,B072BQ7XSH,B072BQ7XSH,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,1625865123309,0,False,0.0152,0.0789,0.9059
5.0,Good Product,Good Product,B01IE42ST4,B0BT85F69N,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,1621794097012,0,False,0.0152,0.0789,0.9059
5.0,Good Product,Good Product,B07HJD9FVV,B07HJD9FVV,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,1618607813583,0,True,0.0152,0.0789,0.9059
5.0,Good product,Good product,B07HJHK8Y5,B07HJHK8Y5,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,1610319642327,0,True,0.0153,0.0871,0.8976
5.0,Good product,Good product,B00BXLWD0U,B00BXLWCJ2,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,1610319551349,0,True,0.0153,0.0871,0.8976
5.0,Good Product,Good Product,B01MSBQB1P,B01MSBQB1P,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,1600998736261,0,True,0.0152,0.0789,0.9059
5.0,Good Product,Good Product,B01K8RMDO0,B077N4CNVJ,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,1594616189941,0,True,0.0152,0.0789,0.9059
5.0,Good,Good,B07PFLG7VG,B00VTVA1T4,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,1594616023131,0,True,0.0527,0.2628,0.6844
5.0,Gift card,Perfect for Christmas,B07FK7L976,B00ADR2LV6,AFEJKJ56OD6H2XH55DGHJI2526MA,1646362028105,0,True,0.0065,0.0267,0.9669
5.0,So easy,Easy to do,B00IX1I3G6,B00IX1I3G6,AEINWALDRYT4NTF3M5NC2WZ5YQNA,1587064572520,0,True,0.0471,0.3273,0.6256
2.0,Mistake,Hit button by mistake n deduction from credit card on file,B00IX1I3G6,B00IX1I3G6,AHVPSZCUQH3UMQCGQSDZ7BZVUHNQ,1576194477554,0,True,0.4995,0.4727,0.0277
5.0,Great gift idea,Always great to order from my home Amazon rocks,B01K8RL9C2,B018F4H5DM,AFPHKIJFGIU4G4POXRFCEF5RJJHA,1607184498800,0,True,0.0029,0.0127,0.9844
5.0,Secure,So easy to use and recipients get to choose how to use it,B01K8RL9C2,B018F4H5DM,AGQSSZPF5DTU56OIYEZVVKTMKJIQ,1617048149237,0,True,0.0096,0.0911,0.8993
5.0,Birthday surprise!,This was a good birthday surprise,B01C9MW8Z6,B00JFBLZ90,AHHKNZRXSHRMSGS4WZU4G2XUFF6A,1578591695293,0,True,0.0041,0.0143,0.9815
5.0,Birthday Gift,Have given as Holiday Birthday Other Occasions remembrances Always appreciated by the person receiving,B077T9WSSN,B071X4ZX3X,AGOXD3ECHHH2XAFGO6TSSMRZJQVQ,1661888412555,0,True,0.0067,0.1432,0.8501
5.0,Fun,Awesome they work,B01MSBQB1P,B01MSBQB1P,AEMM65JNJARUZ23W4LY7737WXIXQ,1547951768806,0,True,0.0067,0.019,0.9743
5.0,Reload is super easy.,Really ready to reload gift cards,B00IX1I3G6,B00IX1I3G6,AG57CQ6P4QWYMWUV6MTAOETUKHTA,1554034169706,1,True,0.138,0.4202,0.4418
5.0,Convenience of giftabiliy.,A great way to give a gift to family members in physical form It was so convenient,B071NM2PNL,B071X4ZX3X,AEN7KAKQJGIQCNK6NMVWH2WZ3YXQ,1608272055300,0,True,0.0028,0.022,0.9752
5.0,Great Gift Package,Nice gift packaging for any event,B014S24J16,B018F4M89S,AG3VXRJ5OUQDF3UAEOEIIZ6Z5Z3A,1472217049000,0,True,0.007,0.0549,0.938
5.0,Grest Sandwitches !!,Perfect and I even used Amazon Points was mailed right out,B00CIECDEM,B00BXLW5QC,AG3VXRJ5OUQDF3UAEOEIIZ6Z5Z3A,1459026048000,0,True,0.0046,0.0285,0.9668
5.0,GOOD PIZZA !!,Perfect and I even used Amazon Points was mailed right out,B00HLAO738,B00HLAO65M,AG3VXRJ5OUQDF3UAEOEIIZ6Z5Z3A,1459026010000,1,True,0.0046,0.0285,0.9668
5.0,We like this Store and they stock Tons of different Items for all kinds of Pets,Our cats love this place,B015726JLY,B00BXLVETG,AG3VXRJ5OUQDF3UAEOEIIZ6Z5Z3A,1449424730000,0,True,0.0043,0.0177,0.978
5.0,Money was loaded on card,Was cute and the money was loaded when it arrived,B076CV42TK,B076CV42TK,AHYARJU3M2CYM3W5SZYL33KOFVHA,1559406477298,0,True,0.0077,0.0445,0.9477
5.0,👍,,B07HJHK8Y5,B07HJHK8Y5,AEG6UV72JH6WOHEAWLMNXT6J7F4A,1642620213869,0,True,0.2256,0.3731,0.4013
5.0,Love it!!,This is an online gift card nothing to show sorry,B086KKT3RX,B086KKT3RX,AFZ2WFNVLG46EXHEF5AEG4LNR5JQ,1670031712393,0,True,0.48,0.4768,0.0432
5.0,Five Stars,Gift cards are always a hit,B0091JKY0M,B0091JKY0M,AHYPJP7HKAXKK2QZG3MRPVNHUQGQ,1490602754000,0,True,0.0073,0.0418,0.9509
5.0,So cool you can get a free tin with the gift ...,So cool you can get a free tin with the gift card and it comes in hours Super awesome Last year I just printed off the gift cards which looked kind of cheap even though the cards were for substantial amounts Highly recommend,B072P5VV4D,B00ADR2LV6,AET5VFNIYKIHIPO3ZALZSLXX3KOQ,1514399125141,0,True,0.0035,0.0197,0.9768
5.0,Reccomend,Really easy to load,B00IX1I3G6,B00IX1I3G6,AF76P2AWQWB7ZDCNGZO2GV7JIK4Q,1613752140987,0,True,0.0091,0.1016,0.8893
5.0,Little sister surprise,Same gift as her big sister s this little one can choose the exact thing she most desires and run to the door for three days in anticipation A combined birthday and Christmas present for one who knows her own mind Good choice,B0091JKYLQ,B0091JKYLQ,AFEYY6TB5DOF2U4WCL7GRMNZREJA,1486682224000,0,True,0.0079,0.084,0.9081
1.0,"The added value was great, but no more",Purchasing an Amazon gift card came with an added monetary value but no more br br A Bronx cheer for you,B00IX1I3G6,B00IX1I3G6,AEE2PYYDXJGV6ZO3YHZBBEMSUG4Q,1638164827641,0,True,0.2216,0.5518,0.2266
4.0,Perfect gift!,This is near where I work and has a drive through Nothing better during these times to give than a gift of good food they can pick up with minimal contact Gift cards are the way to go these days,B07Q8KN5TJ,B07Q8KCGYT,AHNGFLCHE75OQH4PZFLNJTTKUBSQ,1604369336892,0,True,0.0255,0.1271,0.8474
4.0,Great staff appreciation gift!,What better gift during these times than one to treat yourself This is a great gift I gave out to my staff and even those who don t read liked the idea of being able to listen to the audiobooks as well as there being content and other media through Audible,B07Y5YJK66,B07Y5YJK66,AHNGFLCHE75OQH4PZFLNJTTKUBSQ,1604369109976,0,True,0.0035,0.0213,0.9752
5.0,Cute cute cute!,I love the tin The gift cards can be ordered on different amounts,B01C9MW8Z6,B00JFBLZ90,AFTPWW67O3POISX7RO75HMRHQL3Q,1527712711389,0,True,0.0026,0.0194,0.978
5.0,Five Stars,Simple and easy,B00IX1I3G6,B00IX1I3G6,AEZJ2TU2SLZEDP2YXEM7UHTLM6EA,1513451925880,0,True,0.064,0.2582,0.6778
5.0,As described.,Being able to reload the gift card is a time saver,B086KKT3RX,B086KKT3RX,AF2FG45QSSVK2WMLTGPTD5IZHSWA,1643240290899,0,True,0.0102,0.0937,0.8961
5.0,Perfect gift for any occasion. Let them pick out what they love!,I mean really who wouldn t LOVE this Wonderful gift for any occasion,B01MDLOM4V,B01B3DYSF0,AF36B77ISO4OHA5GUTF46F4BJRMQ,1496718858000,0,True,0.0069,0.0176,0.9756
5.0,12 year old daughter loved this gift!,Perfect gift for your kids,B005ESMHN6,B005ESMHN6,AF36B77ISO4OHA5GUTF46F4BJRMQ,1491786205000,0,True,0.0044,0.0158,0.9798
5.0,Easy to send to an Amazon shopper,This is a simple gift to friends or family For me it was easy to setup Took ok only about seconds I also redeem Visa gifts by giving the gift card to myself I like there isnt a fee I do want Amazon to make some cooler cards with my animation when a receiver gets it,B00IX1I3G6,B00IX1I3G6,AGV5IAI7ELBBT327V7EUBECMW6MQ,1560933495865,1,True,0.0062,0.1581,0.8357
5.0,Rec'd promo from Amazon when reloading gift card.,Bonus rec d a promo from Amazon for reloading gift card Yeah br br Gift card was posted to my account quickly,B00IX1I3G6,B00IX1I3G6,AFOU3KAJIZ7YQCXJ3CJOYJ3J7GSQ,1571823522128,0,True,0.0025,0.0963,0.9012
5.0,Saves a Little Over time.,Nice way to save a few bucks overtime by reloading your own gift card,B00IX1I3G6,B00IX1I3G6,AGO3H7RLCHVCCYG44FAHDBYPUA4Q,1558233886561,0,True,0.0073,0.1458,0.8469
5.0,What a great company,Who wouldn t want an Amazon gift card The box foretold the contents lol,B005ESMF5G,B005ESMF5G,AGO3H7RLCHVCCYG44FAHDBYPUA4Q,1484281260000,0,True,0.0597,0.5714,0.3689
1.0,A problem to use at drive thru's,I only used the card one time at Burger King It was difficult to use Must be run as credit not as gift card No remaining balance is given at the end of the transaction And although it s on me I misplaced or lost this card after only spending about of it I was hoping that the seller could provide me with the full card number so that I could at least use it online for other purchases They failed to respond I have the receipt from BK but it only shows the last numbers There isn t a way of contacting happy cards customer service online that I could figure out I wish I d just stuck with credit cards A lot safer,B07RN957Q8,B07JMV25V6,AHZ53K26WSCRDR32EGBBA43OEFFA,1615898825149,4,True,0.8533,0.1381,0.0086
5.0,A gift card does make a great gift for a tweenager.,We all know the kid who wants nothing Or actually wants everything but nothing is good enough YES YES the secret weapon A AMAZON GIFT CARD You pulled it off You showed your love and you are the best and greatest Happy Birthday to just because You are the BEST,B00IX1I3G6,B00IX1I3G6,AFOELOYLQUGV6UDAZU2YLAOVZ4JA,1667152661548,0,True,0.0186,0.0643,0.9172
5.0,Nice to have,This comes in very handy and makes the guilt less,B00IX1I3G6,B00IX1I3G6,AFICQHAE6YOEIGE5TYZG5TN7OTRQ,1501709478479,0,True,0.0179,0.0708,0.9113
5.0,Excellent Gift,Who would not like an Amazon Gift Card Makes everyone I give them happy,B071NM2PNL,B071X4ZX3X,AGSGQ6Z2XBJPLC5C2EOZDPCDXKDQ,1611444311497,0,True,0.0079,0.0433,0.9488
5.0,Yay so easy!,So easy No scraping,B00IX1I3G6,B00IX1I3G6,AHCDZ4OXU7U4AWYCAK2674R3NYVQ,1494974249000,1,True,0.036,0.2027,0.7613
5.0,:),easy to use,B086KKT3RX,B086KKT3RX,AF4WLLHTQLRPEZ33OJDYG23MFLKQ,1653192933371,0,True,0.0303,0.2233,0.7464
5.0,10/10,works great,B00IX1I3G6,B00IX1I3G6,AF4WLLHTQLRPEZ33OJDYG23MFLKQ,1582923781652,0,True,0.0089,0.0318,0.9593
5.0,Perfect for a birthday 🎂,Another nice gift box from Amazon With the world the way it is now I had to send a gift rather than going to a party And Amazon has a good selection of gift boxes and fast shipping so my nephew was happy when he received the card in the mail,B06ZY43PDR,B071LMFYTG,AFV22L7AEKI2LW6HMLRLUKNYVBGQ,1589293286428,1,False,0.0102,0.0633,0.9264
5.0,Perfect!,Bought this for a gift and was very happy it shipped quickly and they received it just in time Amazon is awesome,B07FKKBFHS,B07FKKBFHS,AFV22L7AEKI2LW6HMLRLUKNYVBGQ,1586487627890,0,False,0.0034,0.0096,0.987
5.0,Gift box nice!,Love the gift box So much j NB icee than just handing a gift card to the grandkids,B01K8RIM5Y,B005S28ZES,AHUX7LYUKBTCPVVALKMMPH6JYCGQ,1621545773576,0,True,0.0065,0.0531,0.9404
5.0,It was soooo easy,It was a nice way to give a present,B086KKT3RX,B086KKT3RX,AETXMYPV6KHWTNVRXNXFYQN2TZNA,1672080764246,0,True,0.0076,0.0357,0.9567
5.0,great,great buy,B005ESMGZU,B005ESMGZU,AFDAN27KWZQOMPX5J2NB7MAPOIXA,1477509546000,0,True,0.0359,0.0978,0.8662
5.0,Amazon Thinks of Everything!,GREAT idea I was so happy to have these on hand for the Holidays,B00IT0NO10,B00IT0NO10,AHI5GVBI6PNSQ4T43RTEAJ4VQH2A,1420299448000,0,True,0.0031,0.0067,0.9901
5.0,Amazon lover giftee?  Buy it!,So gift card for certain sum No service fee Lively metal gift box yes I said metal What is not to love about this br br Well done Amazon Well done,B0866QM41K,B00ADR2LV6,AGWX2VRM6GYPGQM3XNL2NEYY7JAQ,1668525273215,8,True,0.0038,0.0337,0.9625
5.0,Timing,Great timing,B00IX1I3G6,B00IX1I3G6,AFTDSPCG32FV2VPWLEYPDQARTSQA,1595375222310,0,True,0.0109,0.0895,0.8996
5.0,Was easy to do,Easy to use,B086KKT3RX,B086KKT3RX,AFH37SUSDVJI6GWNF2YSSGAPUB7A,1663344696022,0,True,0.0289,0.1969,0.7741
5.0,PENGUINS,So so cute,B07FKK8SFR,B07FKK8SFR,AEVH6SVYTFNNONWKJLLZOGDRBFWQ,1562018433133,0,True,0.0117,0.0419,0.9464
5.0,Believe this is the best gift to give !,The recipient can choose what they want so the giver has less chance of a mistake,B0866QM41K,B00ADR2LV6,AE5PZITMWZJBPVKL7XXYUFBTITQA,1641851447007,0,True,0.1392,0.7531,0.1077
5.0,convenient,A great and convenient gift idea price is right too,B01MSBQB1P,B01MSBQB1P,AEUZHPIGXLWEQ7HW5LRYEPD3QYCQ,1543687172883,0,False,0.0044,0.0234,0.9722
5.0,Five Stars,The gift card came in a pretty box br Thanks Amozan,B005ESMM04,B005ESMM04,AG4H4WHLCUIJMCIRGXUZWNVIOODA,1433222082000,0,True,0.0035,0.0366,0.9599
5.0,Best gift for someone you don’t know what to get,This was for a gift,B07641P3WL,B07641P3WL,AFP4PCVJ723ZNLOS4IPWVLLC3T2Q,1554486530782,0,True,0.031,0.7251,0.2439
5.0,Great value,Made my shopping much better good value,B07674CBVT,B00OV98120,AFGNK6IBETT72HOGGHE7GMBDWPQA,1545524073920,0,True,0.0068,0.0358,0.9574
5.0,Sweet gift!,I sent this to my brother and he couldn t stop talking about it This boxes puts a little more nice into a gift Very pretty,B07DDC8FJM,B073VBZM8J,AGF6GWDAWG7UW3R5O2G5O5JZC4BQ,1646497576623,0,True,0.0052,0.0327,0.962
5.0,Amazing,It can be used for a variety of things,B07HJD9FVV,B07HJD9FVV,AG4DEQCBVNCJPRHXC3S255BBJALQ,1665847374516,1,True,0.0224,0.7843,0.1933
5.0,Great Holder,Great holder for gift cards,B07FK7L976,B00ADR2LV6,AE5GHFQZ6IXM4QNYTLTYJO24KQZQ,1676604832230,0,True,0.0042,0.0348,0.9611
5.0,Gift card,Makes these so easy for any holiday and especially stops buying something people do not like,B07HJHK8Y5,B07HJHK8Y5,AFAE5TN6ZBXFPCM7ROQKDHZKNZNA,1575672071594,0,True,0.2076,0.4859,0.3065
5.0,Starbuck gift card,My friend like the gift card like the sweater for holiday card,B076ZTSX5V,B00BXLW2AQ,AFAE5TN6ZBXFPCM7ROQKDHZKNZNA,1515887714780,0,True,0.0091,0.4148,0.5761
5.0,Good litte thank-you gifts,I m happy they did not cost me more than their face value to buy I gave them out as a nice thank you to those who helped me with small things around my house I sent them in the mail as a surprise knowing money or gifts was not necessary I recommend them,B00FTGTM5E,B00FTGTIOE,AFMHO73ZLBHUMB36EHB4GUFLM3SA,1653086469676,0,True,0.0104,0.0493,0.9403
3.0,Okay as a gift,After I bought several I realized I could have sent gift money via text without the fees or wait,B07GH6WX29,B07GH6WX29,AFMHO73ZLBHUMB36EHB4GUFLM3SA,1641431818335,0,True,0.0419,0.7001,0.258
